id,name_ar,name_en,background
1,دين,Religion,https://th.bing.com/th/id/OIP.7ulpPAvco083nFIOkfhyHAHaFS?w=1200&h=857&rs=1&pid=ImgDetMain
2,حب,Love,https://th.bing.com/th/id/OIP.nc3hMfxM0qmWrwy_ByfrnQHaEo?w=1600&h=1000&rs=1&pid=ImgDetMain
3,تفاؤل وتحفيز,Positivity and Motivation,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
4,حزن,Sadness,https://th.bing.com/th/id/R.98b442f1873541bf7c8fead11f9d06e9?rik=4l1oPMkV%2bWGdAg&riu=http%3a%2f%2fclipart-library.com%2fimages%2fkcKoLdaAi.jpg&ehk=Uf3aGsS8Js1o%2bFGYsBio1u0T1qh7G8mhGhziEp07Q6w%3d&risl=&pid=ImgRaw&r=0
5,حكم,Wisdom,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
6,رسمية,Formal,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
7,تهاني,Congratulations,https://th.bing.com/th/id/OIP.98b442f1873541bf7c8fead11f9d06e9?rik=4l1oPMkV%2bWGdAg&riu=http%3a%2f%2fclipart-library.com%2fimages%2fkcKoLdaAi.jpg&ehk=Uf3aGsS8Js1o%2bFGYsBio1u0T1qh7G8mhGhziEp07Q6w%3d&risl=&pid=ImgRaw&r=0
8,تخرج,Graduation,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
9,بقية الأقسام,Other Sections,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
